paper_id,year,model,selection,char_count,jp_char_count,kana_char_count,zh_char_count,speaker_marker_count,risk_hits,quality_flags,status
gaokao-ja-2002-national-standard,2002,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1218,1032,790,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2003-national-standard,2003,FunAudioLLM/SenseVoiceSmall,sensevoice_full,911,698,527,1,0,,,machine_provisional_not_manual_approved
gaokao-ja-2004-national-standard,2004,FunAudioLLM/SenseVoiceSmall,sensevoice_full,744,608,436,0,0,,low_asr_coverage_2004,machine_provisional_not_manual_approved
gaokao-ja-2005-national-standard,2005,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1468,1210,963,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2006-national-standard,2006,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1429,1056,788,0,0,音楽,,machine_provisional_not_manual_approved
gaokao-ja-2007-national-standard,2007,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1558,1217,951,1,0,,,machine_provisional_not_manual_approved
gaokao-ja-2008-national-standard,2008,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1544,1212,950,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2009-national-standard,2009,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1199,1037,808,1,0,,,machine_provisional_not_manual_approved
gaokao-ja-2010-national-standard,2010,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1205,927,720,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2011-national-standard,2011,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1206,916,733,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2012-national-standard,2012,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1201,946,732,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2013-national-standard,2013,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1476,1300,1000,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2014-national-standard,2014,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1218,1029,757,3,0,,,machine_provisional_not_manual_approved
gaokao-ja-2015-national-standard,2015,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1305,1125,882,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2016-national-standard,2016,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1330,1168,880,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2017-national-standard,2017,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1200,994,737,0,0,,,machine_provisional_not_manual_approved
gaokao-ja-2018-national-standard,2018,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1379,1142,847,1,0,,,machine_provisional_not_manual_approved
gaokao-ja-2019-national-standard,2019,FunAudioLLM/SenseVoiceSmall,sensevoice_full,1393,1205,875,0,0,,,machine_provisional_not_manual_approved
